"imdb_id","genre_id"
"tt2265171",1
"tt1899353",1
"tt2354069",1
"tt6116856",1
"tt13484872",1
"tt10994712",1
"tt15711508",1
"tt18938680",1
"tt8237172",1
"tt5305352",1
"tt9506820",1
"tt33479839",1
"tt31495280",1
"tt10090058",1
"tt6880058",1
"tt5147214",1
"tt8070332",1
"tt2943352",1
"tt11853484",1
"tt5199156",1
"tt1368116",1
"tt15528292",1
"tt1754163",1
"tt1653884",1
"tt6917210",1
"tt10329546",1
"tt28349451",1
"tt11900398",1
"tt1438496",1
"tt14773940",1
"tt3239660",1
"tt18436986",1
"tt13612010",1
"tt8571716",1
"tt9033440",1
"tt3556500",1
"tt6730970",1
"tt13393058",1
"tt27490380",1
"tt13370162",1
"tt6947800",1
"tt1612768",1
"tt32809554",1
"tt4235342",1
"tt37344163",1
"tt8512642",1
"tt14937820",1
"tt13387422",1
"tt31022272",1
"tt3582084",1
"tt32433566",1
"tt10200522",1
"tt24670146",1
"tt28151906",1
"tt5732630",1
"tt4818844",1
"tt2111458",1
"tt10011002",1
"tt5057126",1
"tt5581630",1
"tt10300710",1
"tt1945106",1
"tt13968406",1
"tt11646320",1
"tt29795484",1
"tt31382021",1
"tt11749980",1
"tt9198814",1
"tt10975730",1
"tt1537898",1
"tt3712504",1
"tt33513545",1
"tt31070670",1
"tt3019458",1
"tt2773600",1
"tt11240996",1
"tt2773682",1
"tt6503672",1
"tt2323649",1
"tt1507373",1
"tt4373670",1
"tt5725036",1
"tt2404241",1
"tt2796172",1
"tt9209468",1
"tt3524530",1
"tt4379102",1
"tt11646308",1
"tt10681664",1
"tt2015332",1
"tt38221401",1
"tt15433116",1
"tt20224156",1
"tt3032240",1
"tt13642366",1
"tt3903990",1
"tt38623880",1
"tt5693776",1
"tt1774477",1
"tt5065314",1
"tt5306164",1
"tt6444398",1
"tt5547924",1
"tt14697186",1
"tt8060288",1
"tt14807346",1
"tt10655922",1
"tt8836476",1
"tt2773732",1
"tt34547701",1
"tt14938014",1
"tt34867385",1
"tt5787348",1
"tt36217095",1
"tt11646118",1
"tt2221819",1
"tt5255986",1
"tt6574480",1
"tt1445099",1
"tt21288390",2
"tt27433995",2
"tt15169898",2
"tt13393058",2
"tt9094846",2
"tt13370162",2
"tt8237172",2
"tt6730970",2
"tt5305352",2
"tt18750866",2
"tt1576459",2
"tt8856944",2
"tt31709812",2
"tt10994712",2
"tt1304591",2
"tt37846979",2
"tt37249788",2
"tt9435162",2
"tt23857630",2
"tt1369687",2
"tt1301264",2
"tt3094000",2
"tt2943352",2
"tt10090058",2
"tt11127782",2
"tt31601350",2
"tt11900398",2
"tt11271990",2
"tt7138190",2
"tt21429366",2
"tt6880058",2
"tt7941934",2
"tt2713324",2
"tt6481326",2
"tt20916566",2
"tt11343692",2
"tt11749980",2
"tt10773028",2
"tt11710070",2
"tt6209474",2
"tt4235342",2
"tt12217814",2
"tt5821664",2
"tt1885198",2
"tt5882398",2
"tt10039468",2
"tt6825826",2
"tt26923485",2
"tt10092770",2
"tt24224080",2
"tt10975730",2
"tt12497872",2
"tt8066076",2
"tt4580370",2
"tt10645276",2
"tt5725036",2
"tt6096424",2
"tt7142620",2
"tt8463722",2
"tt4818844",2
"tt1462603",2
"tt34973251",2
"tt8297042",2
"tt10495074",2
"tt31474662",2
"tt1754163",2
"tt11107872",2
"tt10656222",2
"tt13580706",2
"tt5065314",2
"tt7547768",2
"tt33512889",2
"tt4848740",2
"tt13324734",2
"tt6500168",2
"tt24670146",2
"tt3096088",2
"tt9558490",2
"tt8065816",2
"tt15839124",2
"tt2190357",2
"tt9015650",2
"tt5811242",2
"tt9033440",2
"tt10640084",2
"tt5057126",2
"tt37501704",2
"tt7158514",2
"tt5195842",2
"tt11656662",2
"tt31382021",2
"tt13550666",2
"tt1930391",2
"tt9557810",2
"tt11663928",2
"tt27694297",2
"tt9215272",2
"tt1984199",2
"tt10656230",2
"tt5049258",2
"tt27433995",3
"tt37846979",3
"tt11710090",3
"tt1304591",3
"tt2943352",3
"tt23857630",3
"tt37150775",3
"tt11343692",3
"tt11710070",3
"tt13465228",3
"tt10645276",3
"tt2455354",3
"tt10640084",3
"tt7547768",3
"tt24670146",3
"tt3813456",4
"tt9231140",4
"tt5874502",4
"tt31024893",4
"tt15169898",4
"tt10773028",4
"tt2943352",4
"tt19877146",4
"tt9590254",4
"tt10394822",4
"tt5882416",4
"tt2225946",4
"tt10795930",4
"tt31031881",4
"tt2589132",4
"tt3843110",4
"tt11640412",4
"tt31250833",4
"tt15712278",4
"tt7596856",4
