"genre_id","genre_name"
1,"Action"
2,"Adventure"
3,"Animation"
4,"Biography"
5,"Comedy"
6,"Crime"
7,"Drama"
8,"Family"
9,"Fantasy"
10,"History"
11,"Horror"
12,"Music"
13,"Musical"
14,"Mystery"
15,"Romance"
16,"Sci-Fi"
17,"Sport"
18,"Thriller"
19,"War"
20,"Western"
